Number	Year	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	"Q12	"
p-1	1864	n	n	n	n	y	n	n	y	y	n	n	n
p-2	1868	y	y	n	n	n	n	y	y	y	n	y	"n	"
p-3	1872	y	y	n	n	y	n	y	n	n	n	y	"n	"
p-4	1880	y	n	n	y	n	n	y	y	n	n	n	"n	"
p-5	1888	n	n	n	n	y	n	n	n	n	n	n	"n	"
p-6	1900	n	y	n	n	y	n	y	n	n	n	n	"y	"
p-7	1904	y	y	n	n	y	n	n	n	n	n	y	"n	"
p-8	1908	y	y	n	n	n	n	n	y	n	n	n	"y	"
p-9	1916	n	n	n	n	y	n	n	y	n	n	n	"n	"
p-10	1924	n	y	y	n	y	n	y	y	n	y	n	"n	"
p-11	1928	y	y	n	n	n	n	y	n	n	n	n	"n	"
p-12	1936	n	y	n	n	y	y	y	y	n	n	y	"n	"
p-13	1940	y	y	n	n	y	y	y	y	n	n	y	"n	"
p-14	1944	y	y	n	n	y	n	y	y	n	n	y	"n	"
p-15	1948	y	y	y	n	y	n	n	y	n	n	n	"n	"
p-16	1956	n	y	n	n	y	n	n	n	n	n	y	"n	"
p-17	1964	n	n	n	n	y	n	y	n	n	n	n	"n	"
p-18	1972	n	n	n	n	y	n	y	y	y	n	n	"n	"
													
													
													
													
													
													
													
													
													
													
													
													
													
