Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL
02/01/2015,2.67,2.67,2.67,2.67,2.67,0,Friday,
05/01/2015,2.67,2.7,2.64,2.66,2.66,8878200,Monday,OP
06/01/2015,2.65,2.66,2.55,2.63,2.63,13912500,Tuesday,
07/01/2015,2.63,2.65,2.54,2.58,2.58,12377600,Wednesday,
08/01/2015,2.59,2.65,2.56,2.61,2.61,11136600,Thursday,
09/01/2015,2.63,2.64,2.58,2.63,2.63,8907600,Friday,CL
12/01/2015,2.62,2.64,2.55,2.63,2.63,9979600,Monday,OP
13/01/2015,2.64,2.68,2.6,2.66,2.66,17907400,Tuesday,
14/01/2015,2.6,2.66,2.58,2.63,2.63,9989900,Wednesday,
15/01/2015,2.62,2.65,2.49,2.52,2.52,17744000,Thursday,
16/01/2015,2.52,2.53,2.39,2.39,2.39,30192400,Friday,CL
20/01/2015,2.39,2.43,2.19,2.24,2.24,56389300,Tuesday,OP
21/01/2015,2.18,2.45,2.14,2.45,2.45,46530800,Wednesday,
22/01/2015,2.42,2.5,2.37,2.47,2.47,36169600,Thursday,
23/01/2015,2.48,2.5,2.43,2.45,2.45,11100700,Friday,CL
26/01/2015,2.44,2.64,2.44,2.61,2.61,36571300,Monday,OP
27/01/2015,2.58,2.84,2.56,2.7,2.7,51805800,Tuesday,
28/01/2015,2.71,2.75,2.6,2.63,2.63,24786200,Wednesday,
29/01/2015,2.63,2.69,2.51,2.61,2.61,17789200,Thursday,
30/01/2015,2.56,2.6,2.51,2.57,2.57,12908200,Friday,CL
02/02/2015,2.69,2.75,2.65,2.67,2.67,25688700,Monday,OP
03/02/2015,2.7,2.8,2.68,2.76,2.76,22585300,Tuesday,
04/02/2015,2.78,2.92,2.76,2.85,2.85,34829300,Wednesday,
05/02/2015,2.88,3.37,2.87,3.31,3.31,73355600,Thursday,
06/02/2015,3.2,3.21,3,3.03,3.03,38110700,Friday,CL
09/02/2015,3.03,3.07,2.93,3.04,3.04,24133800,Monday,OP
10/02/2015,3.07,3.1,3.01,3.04,3.04,13995100,Tuesday,
11/02/2015,3.03,3.1,3,3.07,3.07,11741100,Wednesday,
12/02/2015,3.08,3.15,3.05,3.12,3.12,12975000,Thursday,OP
13/02/2015,3.13,3.18,3.11,3.15,3.15,9627600,Friday,CL
17/02/2015,3.16,3.17,3.08,3.11,3.11,8678100,Tuesday,
18/02/2015,3.11,3.14,3.06,3.08,3.08,7273900,Wednesday,
19/02/2015,3.06,3.08,3.01,3.06,3.06,6573600,Thursday,
20/02/2015,3.03,3.13,3.02,3.06,3.06,10666700,Friday,CL
23/02/2015,3.05,3.1,3.03,3.06,3.06,6323500,Monday,OP
24/02/2015,3.06,3.12,3.02,3.11,3.11,10899400,Tuesday,
25/02/2015,3.08,3.14,3.06,3.1,3.1,6151300,Wednesday,
26/02/2015,3.1,3.13,3.06,3.08,3.08,8680900,Thursday,
27/02/2015,3.07,3.12,3.07,3.11,3.11,7150200,Friday,CL
02/03/2015,3.13,3.23,3.11,3.21,3.21,15638100,Monday,OP
03/03/2015,3.2,3.23,3.13,3.14,3.14,8644000,Tuesday,
04/03/2015,3.14,3.14,3.01,3.05,3.05,12112800,Wednesday,
05/03/2015,3.1,3.1,2.98,2.98,2.98,11472300,Thursday,
06/03/2015,2.96,2.99,2.83,2.92,2.92,16785200,Friday,CL
09/03/2015,2.92,2.98,2.9,2.93,2.93,12405900,Monday,OP
10/03/2015,2.97,2.98,2.92,2.92,2.92,10263800,Tuesday,
11/03/2015,2.92,2.95,2.8,2.84,2.84,11772800,Wednesday,
12/03/2015,2.76,2.79,2.72,2.76,2.76,13847200,Thursday,
13/03/2015,2.74,2.78,2.71,2.75,2.75,8098100,Friday,CL
16/03/2015,2.75,2.81,2.75,2.76,2.76,6132900,Monday,OP
17/03/2015,2.75,2.8,2.74,2.77,2.77,7739900,Tuesday,
18/03/2015,2.77,2.82,2.72,2.75,2.75,11372000,Wednesday,
19/03/2015,2.76,2.78,2.73,2.74,2.74,8819400,Thursday,
20/03/2015,2.76,2.8,2.74,2.8,2.8,10764800,Friday,CL
23/03/2015,2.81,2.85,2.8,2.84,2.84,7403800,Monday,OP
24/03/2015,2.85,2.85,2.76,2.79,2.79,8724500,Tuesday,
25/03/2015,2.78,2.79,2.56,2.63,2.63,26985300,Wednesday,
