Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL,Missed Weekday,Missed date
02/01/2015,20.129999,20.280001,19.809999,20.129999,19.526121,2842000,Friday,CL,,
05/01/2015,20.129999,20.190001,19.700001,19.790001,19.196321,4948800,Monday,OP,,
06/01/2015,19.82,19.84,19.17,19.190001,18.614323,4944100,Tuesday,,,
07/01/2015,19.33,19.5,19.08,19.139999,18.565821,8045200,Wednesday,,,
08/01/2015,19.360001,19.98,19.35,19.860001,19.264223,7094500,Thursday,,,
09/01/2015,19.93,20.09,19.66,19.940001,19.341822,5238500,Friday,CL,,
12/01/2015,19.99,20,19.51,19.690001,19.099321,4768300,Monday,OP,,
13/01/2015,19.84,20.24,19.52,19.66,19.070219,5909700,Tuesday,,,
14/01/2015,19.450001,19.799999,19.4,19.74,19.147821,3881500,Wednesday,,,
15/01/2015,19.879999,20,19.59,19.6,19.01202,4723300,Thursday,,,
16/01/2015,19.57,19.98,19.51,19.959999,19.361223,4537800,Friday,CL,,
20/01/2015,20.1,20.209999,19.77,20.02,19.419424,3487500,Tuesday,,,
21/01/2015,19.91,20.35,19.77,20.299999,19.691019,3619500,Wednesday,,,
22/01/2015,20.34,20.709999,20.129999,20.65,20.030519,3992800,Thursday,,,
23/01/2015,20.67,20.75,20.5,20.709999,20.088722,2976700,Friday,CL,,
26/01/2015,20.620001,20.719999,20.49,20.620001,20.001425,3331000,Monday,OP,,
27/01/2015,20.299999,20.32,19.59,19.629999,19.041119,8948700,Tuesday,,,
28/01/2015,19.870001,19.950001,19.299999,19.309999,18.730717,6818200,Wednesday,,,
29/01/2015,19.32,19.889999,19.23,19.780001,19.186625,5883500,Thursday,,,
30/01/2015,19.639999,19.870001,19.17,19.200001,18.624018,7455000,Friday,CL,,
02/02/2015,19.32,19.700001,18.940001,19.620001,19.031424,6490100,Monday,OP,,
03/02/2015,19.76,20.129999,19.66,20.110001,19.506725,4555300,Tuesday,,,
04/02/2015,20.049999,20.389999,19.99,20.16,19.55522,4537900,Wednesday,,,
05/02/2015,20.18,20.5,20.16,20.49,19.875324,3511200,Thursday,,,
06/02/2015,20.469999,20.709999,20.309999,20.4,19.788023,5231900,Friday,CL,,
09/02/2015,20.280001,20.440001,20.15,20.379999,19.768621,6848600,Monday,OP,,
10/02/2015,20.4,20.959999,20.309999,20.950001,20.321524,5655100,Tuesday,,,
11/02/2015,21,21,20.67,20.809999,20.18572,8020800,Wednesday,,,
12/02/2015,22,22.5,21.870001,22.299999,21.631025,16922600,Thursday,,,
13/02/2015,22.25,22.34,21.91,22.309999,21.64072,7752100,Friday,CL,,
17/02/2015,22.27,22.49,22.129999,22.379999,21.708626,5083500,Tuesday,OP,Monday,16/02/2015
18/02/2015,22.35,22.389999,22.08,22.120001,21.456425,4273700,Wednesday,,,
19/02/2015,22.4,22.440001,22.08,22.18,21.514626,4235800,Thursday,,,
20/02/2015,22.16,22.35,22,22.34,21.669825,3943800,Friday,CL,,
23/02/2015,22.33,22.33,22.049999,22.16,21.495224,3125200,Monday,OP,,
24/02/2015,22.16,22.309999,21.959999,22.309999,21.724051,3733900,Tuesday,,,
25/02/2015,22.219999,22.32,22.040001,22.139999,21.558517,3095500,Wednesday,,,
26/02/2015,22.16,22.33,22.02,22.200001,21.61694,3821600,Thursday,,,
27/02/2015,22.139999,22.190001,21.98,22.059999,21.480618,3937300,Friday,CL,,
02/03/2015,22,22.719999,21.969999,22.6,22.006435,7537800,Monday,OP,,
03/03/2015,22.43,22.540001,22.110001,22.18,21.597466,4008600,Tuesday,,,
04/03/2015,22.1,22.48,22.01,22.43,21.8409,5648400,Wednesday,,,
05/03/2015,22.43,22.9,22.370001,22.860001,22.259607,8076400,Thursday,,,
06/03/2015,22.73,22.84,22.530001,22.549999,21.957745,6434800,Friday,CL,,
09/03/2015,22.559999,22.780001,22.51,22.610001,22.016171,5559700,Monday,OP,,
10/03/2015,22.709999,23.15,22.67,23,22.395929,13145300,Tuesday,,,
11/03/2015,23,23.299999,22.82,22.879999,22.279083,6553000,Wednesday,,,
12/03/2015,22.66,22.83,22.24,22.67,22.0746,10174300,Thursday,,,
13/03/2015,22.559999,22.76,22.25,22.700001,22.103809,8982200,Friday,CL,,
16/03/2015,22.879999,23.110001,22.73,22.969999,22.366714,5923900,Monday,OP,,
17/03/2015,22.92,23.26,22.76,23.25,22.639366,7497500,Tuesday,,,
18/03/2015,23.25,23.370001,22.66,22.870001,22.269344,10337600,Wednesday,,,
19/03/2015,22.950001,23.299999,22.780001,23.219999,22.610151,7768900,Thursday,,,
20/03/2015,23.41,23.610001,23.190001,23.469999,22.853584,11552100,Friday,CL,,
23/03/2015,22.77,23.07,22.700001,22.709999,22.113544,10595700,Monday,OP,,
24/03/2015,22.639999,22.799999,22.299999,22.4,21.811689,8262000,Tuesday,,,
25/03/2015,22.389999,22.389999,20.969999,21.040001,20.487406,13563800,Wednesday,,,
26/03/2015,20.610001,21.059999,20.459999,20.969999,20.419247,7798000,Thursday,,,
27/03/2015,21.09,21.459999,20.75,21.379999,20.818478,7940200,Friday,CL,,
30/03/2015,21.48,21.58,21.200001,21.469999,20.906115,6331300,Monday,OP,,
31/03/2015,21.41,21.43,20.91,20.93,20.380297,8931900,Tuesday,,,
01/04/2015,21.01,21.08,20.65,21.01,20.458195,8228300,Wednesday,,,
02/04/2015,21.129999,21.190001,20.879999,21.059999,20.506882,4805100,Thursday,,,
06/04/2015,20.969999,21.74,20.75,21.67,21.100863,12896600,Monday,OP,,
07/04/2015,21.67,22.1,21.549999,21.860001,21.285872,10349100,Tuesday,CL,Wednesday,08/04/2015
08/04/2015,21.879999,22.1,21.67,22.02,21.441668,9160800,Wednesday,,,
09/04/2015,21.85,22.6,21.84,22.530001,21.938272,9485800,Thursday,,,
10/04/2015,22.549999,22.77,22.469999,22.76,22.162231,6468200,Friday,CL,,
13/04/2015,22.709999,22.84,22.450001,22.549999,21.957745,5918100,Monday,OP,,
14/04/2015,22.459999,22.549999,22.139999,22.360001,21.772738,5441000,Tuesday,,,
15/04/2015,22.42,22.799999,22.309999,22.629999,22.035646,6089000,Wednesday,,,
16/04/2015,22.5,22.690001,22.33,22.49,21.899324,3882100,Thursday,,,
17/04/2015,22.02,22.42,22.01,22.200001,21.61694,7340900,Friday,CL,,
20/04/2015,22.299999,22.440001,22.049999,22.09,21.50983,5739500,Monday,OP,,
21/04/2015,22.360001,22.360001,21.950001,22.059999,21.480618,5761400,Tuesday,,,
22/04/2015,22.190001,22.34,21.85,22.309999,21.724051,5185500,Wednesday,,,
23/04/2015,21.9,22.43,21.65,22.219999,21.636417,6484500,Thursday,,,
24/04/2015,22.209999,22.219999,21.780001,22.030001,21.451408,6024000,Friday,CL,,
27/04/2015,22.1,22.59,21.91,22.200001,21.61694,6211400,Monday,OP,,
28/04/2015,22.16,22.389999,21.950001,22.309999,21.724051,5862100,Tuesday,,,
29/04/2015,22.15,22.370001,22.049999,22.139999,21.558517,4878900,Wednesday,,,
30/04/2015,22.030001,22.309999,21.98,22.200001,21.61694,5471100,Thursday,,,
01/05/2015,22.379999,22.82,22.280001,22.75,22.152498,6424200,Friday,CL,,
04/05/2015,22.73,22.879999,22.540001,22.610001,22.016171,5018000,Monday,OP,,
05/05/2015,22.530001,22.559999,21.93,22.030001,21.451408,7323200,Tuesday,,,
06/05/2015,22.15,22.360001,21.809999,22.1,21.519569,7912100,Wednesday,,,
07/05/2015,22.01,22.559999,21.940001,22.49,21.899324,13364100,Thursday,,,
08/05/2015,21.01,21.84,20.49,20.83,20.282923,28663800,Friday,CL,,
11/05/2015,20.540001,20.84,20.379999,20.629999,20.088175,13603600,Monday,OP,,
